x_g,y_g,z_g
0,-0.0156,1.0296
0,0,1.0296
-0.0156,0,0.9984
0,-0.0156,1.014
0,0,1.0296
0,-0.0156,1.0218
0.0078,0,1.053
0,0,1.0608
0.0078,-0.0156,1.014
0,-0.0078,1.0062
0,-0.0078,0.9516
0,-0.0078,1.0062
0,0.0078,1.0296
0.0078,-0.0078,1.0296
0.0156,-0.0156,1.0062
0,-0.0156,1.131
0,-0.0156,0.9828
0,-0.0156,1.0296
0,-0.0156,1.0452
0,-0.0078,0.9672
0,0.0078,1.0062
0,0.0078,1.0218
0,0.0078,0.9984
0,-0.0156,0.9984
0,-0.0156,1.0062
0.0156,0,0.9672
0,-0.0156,1.0062
0,0.0078,1.0218
0,-0.0156,1.0218
0,-0.0078,0.9906
0,-0.0078,0.9906
0,-0.0156,0.936
0.0078,-0.0156,1.014
0.0078,-0.0156,1.014
0,-0.0156,1.0296
0.0078,-0.0156,1.0218
0,-0.0156,0.9984
-0.0156,-0.0078,1.0218
0,-0.0078,1.0374
0,-0.0156,1.0062
0,-0.0156,1.0062
0,-0.0156,1.0062
-0.0156,0.0078,1.014
0,-0.0078,1.0296
0,-0.0156,1.014
0,0,0.9906
0,0,1.014
0,-0.0156,1.0062
0.0156,-0.0156,0.9984
0,-0.0078,1.0062
0,-0.0156,0.936
0,-0.0156,0.9906
0,-0.0156,1.0296
0,0,1.0218
0,0.0078,1.0218
0,-0.0078,1.014
-0.0234,0.0312,1.0764
0,-0.0078,0.9984
0.0156,-0.0156,1.014
0.0078,-0.0078,0.9906
0,0,1.0218
0,-0.0078,1.014
0,0,0.975
0,-0.0156,1.0062
0,-0.0078,1.0296
0,-0.0156,1.0374
0,0,1.0374
0,-0.0078,1.0062
0,-0.0078,1.014
0,-0.0156,0.9984
-0.0234,-0.0156,1.0062
0,-0.0078,1.0062
0,-0.0078,1.0374
0.0078,-0.0156,0.9672
0,0.0078,1.0296
0.0156,-0.0156,1.014
0,-0.0156,1.0374
0,-0.0078,1.0452
0.0078,-0.0156,1.014
0,-0.0156,0.9984
-0.0156,0.0078,0.975
0.0234,0.0078,0.9984
0.0078,-0.0156,0.9828
0,0,1.092
0.0156,-0.0156,1.0062
0,-0.0156,1.014
-0.0156,-0.0078,0.9906
0,0,0.9906
0,-0.0156,1.0374
0,-0.0078,0.9828
0,-0.0156,1.0296
0,-0.0078,1.0452
0.0078,-0.0078,1.0062
0,0,0.9906
0,-0.0078,1.092
0,0.0078,0.9984
0,-0.0156,0.9984
0,-0.0078,1.0296
0.0078,-0.0156,1.0062
0,0,0.9984
0,0.0078,1.0296
0,-0.0078,0.9984
0,-0.0156,1.092
0.0078,-0.0156,0.9204
0,-0.0156,1.0062
0,-0.0078,1.014
0,-0.0078,1.0062
0,0,0.9906
0,-0.0078,0.9984
0,-0.0156,0.9984
0,-0.0156,1.0218
0,0,1.0998
0,-0.0078,1.014
0,-0.0156,1.014
0,-0.0156,0.9906
0,0,1.0218
0,-0.0156,1.014
0,-0.0156,1.0296
0,0,1.0062
0,-0.0156,1.014
0,-0.0156,0.9984
0,-0.0078,1.0062
0.0234,-0.0156,1.014
0,0,1.014
0,-0.0156,0.9984
-0.0156,0.0078,0.9828
0.0078,0.0078,1.014
0,-0.0156,0.897
0.0078,-0.0156,0.9984
-0.0156,0.0078,1.0218
0,-0.0078,0.9516
0,-0.0156,1.0218
0,0.0078,0.9906
0,-0.0156,1.0062
0,-0.0156,1.0764
0,-0.0078,1.014
0,-0.0078,0.9984
-0.0156,0,1.0296
0,-0.0078,1.014
0.0078,0,1.014
0,-0.0078,1.0062
0,-0.0078,0.9984
0,0.0078,0.975
0.0078,-0.0156,1.0218
0,-0.0078,1.014
0,-0.0078,1.014
0,0.0156,0.9672
0,-0.0156,1.014
0,0,0.9984
0,-0.0156,0.9984
-0.0156,0.0078,1.0062
0,0,1.0218
0,0,0.9906
0,-0.0078,1.0296
0,0,1.0218
0,-0.0156,1.0374
0,-0.0156,1.0296
0,-0.0156,1.014
0,0,1.0062
0,-0.0078,0.9594
0,0,0.9906
0,0,0.9906
0,-0.0078,0.9984
0,0,1.0062
0,-0.0156,1.0296
0,0.0078,1.0062
0,0,0.9906
0.0078,-0.0078,1.0296
0,-0.0156,0.9828
0.0078,0,1.014
0,-0.0156,1.0218
0,0,0.9672
0,-0.0156,1.0374
0,-0.0078,1.1934
0,0,1.0218
0.0078,-0.0156,1.0374
0,0,1.0062
0,0,1.0218
0,0,1.014
0.0078,-0.0156,0.9906
0.0078,-0.0078,1.0218
0,-0.0156,1.014
0,-0.0156,1.0218
0.0078,-0.0078,0.9906
0,-0.0078,1.0218
0,-0.0156,0.9516
0,0,0.9906
0,0,1.014
0.0078,-0.0156,1.1388
0,-0.0156,1.0608
0,0,0.9984
0,-0.0156,0.9672
0,-0.0156,0.9984
0,0.0156,1.0374
0,-0.0078,1.0062
0,0,1.014
0,-0.0156,1.0062
0.0078,0.0078,1.0296
0,-0.0156,1.0218
0,0.0078,1.0296
0,-0.0156,1.0062
0,-0.0156,1.0062
0,0,0.9984
0,-0.0156,1.014
0.0156,-0.0156,1.0062
0,-0.0156,1.014
0,-0.0156,1.014
0,0.0078,0.9828
0,-0.0156,0.9516
0,-0.0156,1.0452
0,0,1.0062
0,-0.0156,1.0218
-0.0234,0,0.9906
0,0.0234,1.0218
0,-0.0078,1.014
0,0,1.0062
0,0,0.8424
0,-0.0078,1.0296
0,-0.0078,1.0062
0,-0.0078,0.9984
0,-0.0156,1.014
0,-0.0078,1.0062
0,0,0.9984
0,0,1.014
0,-0.0156,1.1076
-0.0234,-0.0078,0.9906
0,0.0078,1.0062
0,-0.0156,1.0296
0,-0.0156,1.0218
0.0078,-0.0156,1.0062
0,0.0078,1.0374
0,0,0.9984
0,-0.0156,1.0452
0,-0.0156,1.014
0,-0.0156,1.0062
0,-0.0156,1.0062
0,-0.0078,1.014
0,-0.0156,0.9984
-0.0234,0.0156,1.0374
0,-0.0156,0.9984
0,-0.0156,0.9984
0,0.0078,1.014
0,-0.0078,0.9984
-0.0156,0,0.9984
0.0078,-0.0156,0.9984
0,-0.0156,1.0296
0,0.0078,1.0296
0,-0.0078,1.0062
0.0156,-0.0078,1.0218
0,-0.0156,1.014
0,-0.0156,0.9516
0,0,1.014
0,0,0.9828
0,0,0.9906
0,-0.0156,1.014
0.0234,-0.0156,1.014
0.0078,-0.0156,1.0062
0.0156,-0.0156,1.0062
0,-0.0156,1.0374
0,0,1.0374
0,-0.0156,1.0062
0,0,1.0062
0,0.0078,1.0062
0,0.0078,0.9984
0,-0.0078,1.014
0,-0.0078,1.0062
0,-0.0078,1.014
0,-0.0078,1.0374
0,0,1.0062
0,-0.0078,1.014
-0.0156,0.0078,1.0296
0,-0.0078,1.014
0,-0.0156,1.0062
0,-0.0156,1.0062
0,-0.0078,1.0062
0,0,1.0452
0,-0.0156,0.9984
0,-0.0078,1.014
0,-0.0156,1.0296
0,-0.0156,1.0062
0,0.0078,0.975
0,0.0078,1.0296
0,-0.0156,0.9984
0,-0.0156,1.014
0.0078,-0.0156,1.0686
0,0,0.9984
-0.0156,-0.0156,1.014
0,0.0078,1.014
0,-0.0078,0.9984
0,0,0.9906
0,-0.0156,0.9672
0,0,1.0296
0,0,1.014
0,-0.0078,0.9828
0,-0.0156,1.014
0.0156,-0.0078,1.014
0,0,1.014
0,0.0078,0.9516
0.0156,0.0078,1.0218
0,-0.0078,1.0218
0.0156,0,0.9672
0,-0.0156,0.9984
0,0,1.0218
0,-0.0078,1.014
0.0156,-0.0156,0.9594
0,-0.0078,0.975
0,-0.0156,1.0062
0,-0.0078,0.9984
0.0078,-0.0156,1.0296
0,0,1.0218
0,0,1.0842
0,-0.0156,1.0218
0,-0.0078,0.9672
-0.0156,0,1.0218
0,-0.0156,1.014
0,0,0.9984
0,0,0.9828
0,0,1.053
0,0.0078,1.0218
0,-0.0156,1.0218
0.0078,-0.0156,0.9984
0,-0.0078,1.0062
0,-0.0078,1.0374
0,0,0.9906
0,-0.0078,0.9984
0,-0.0156,1.0062
0,-0.0156,1.0218
0,0,0.9906
0,0.0078,1.0062
0,-0.0156,0.9906
0,-0.0078,0.9828
0,-0.0156,0.9984
0,0,1.0062
0,-0.0078,0.9906
0.0078,-0.0078,1.0764
0,-0.0078,0.9828
0,-0.0078,1.0218
0,0,1.0062
0,-0.0156,0.975
0,-0.0156,1.014
0.0078,-0.0156,1.014
0,-0.0078,1.0218
0,-0.0156,1.014
0,0.0234,0.9984
0,0.0078,0.9828
0,-0.0078,1.014
0,-0.0078,0.9984
0.0078,0,1.0374
0,-0.0546,0.8658
0,-0.0078,0.9984
0,-0.0156,1.0062
0,-0.0156,1.014
0,-0.0078,0.9828
0,-0.0156,0.9984
0.0078,-0.0156,1.0452
0,0.0078,1.014
0,0.0078,1.014
0,-0.0156,0.9984
0,-0.0078,0.9906
0,-0.0156,0.9516
0,-0.0156,0.9828
0,-0.0156,1.0062
0,-0.0156,0.9984
0.0078,-0.0156,0.9984
0,-0.0156,0.975
0,0,1.0296
0,-0.0156,1.053
0.0078,0.0156,0.9906
0,0,1.0062
0,0,0.9984
0,-0.0078,0.9282
0,-0.0078,1.0218
0,-0.0156,0.975
0,0,1.0218
-0.0156,-0.0078,1.0062
0,-0.0156,1.092
0,-0.0078,1.0296
0,-0.0078,1.0218
0,0,0.9906
0,0,1.014
0.0156,-0.0156,1.1544
0,-0.0156,1.014
-0.0234,-0.0156,0.9984
0,-0.0078,0.9828
0,-0.0156,0.9984
0,-0.0078,1.0296
0,-0.0156,1.014
0,-0.0078,1.0218
0,0.0078,1.1778
0,0,0.9906
0,-0.0078,1.0062
0,0,1.0218
0,-0.0078,0.9906
0,0.0078,1.1544
0,-0.0156,1.014
0,0.0078,0.9984
0,-0.0156,1.0062
0,-0.0156,1.014
0,-0.0078,1.0296
0.0078,0.0078,0.9672
0,-0.0078,1.0218
0,-0.0156,0.9906
0,-0.0156,0.9828
0,-0.0156,1.0062
0,-0.0156,1.0062
0,-0.0078,1.0218
0,-0.0078,1.0218
0.0156,-0.0156,1.0218
0,-0.0156,0.9984
0,0.0078,1.014
0,-0.0156,0.9984
0,0,1.0218
0,-0.0156,1.053
0,-0.0156,1.014
0,-0.0156,1.014
0,0.0078,1.092
0,0,1.0452
0.0078,-0.0156,0.9906
0,-0.0156,1.0218
0,-0.0156,1.092
0,-0.0078,1.0218
0,-0.0078,1.0218
0,0.0156,1.0452
0,0.0078,0.9984
0.0078,-0.0156,1.0296
0,-0.0156,0.9828
0,-0.0156,1.092
0,0,0.9906
0,0,0.9828
0,-0.0156,1.0296
0,-0.0078,0.9906
0,-0.0156,0.9984
0,-0.0156,1.0218
0,0.0156,1.0062
0,0,0.9828
0,-0.0156,1.0062
0,-0.0156,0.8892
0,-0.0156,0.9828
0,-0.0078,1.0218
0,-0.0078,1.0374
-0.0156,0.0156,1.0218
0,-0.0156,1.014
0,-0.0156,1.0296
0.0078,-0.0156,1.0062
0,-0.0156,1.0062
0,-0.0078,0.9984
0,-0.0156,0.9594
0,-0.0156,0.9984
0,0,1.0062
0,-0.0078,1.014
0,0.0234,1.0218
0,-0.0156,0.9984
0,0.0078,0.9984
0,-0.0078,1.0296
0,-0.0156,0.9984
0,-0.0078,1.0218
0,-0.0078,1.014
0,-0.0156,1.0062
0,0,1.0062
0.0156,-0.0078,1.014
0,-0.0078,1.0296
0.0078,-0.0078,0.9906
0,-0.0156,1.0218
0,-0.0078,1.0296
0,0.0078,1.0686
0,-0.0156,0.936
0,-0.0078,0.9984
0,0,1.0296
0,0.0078,1.0218
0,-0.0078,1.0218
0,-0.0078,1.0062
0,0.0078,0.9984
0,-0.0156,1.0062
0,0.0078,1.053
0.0156,-0.0156,0.9984
0,-0.0156,1.0062
0.0078,-0.0078,1.0374
0,-0.0156,0.9906
0,-0.0156,1.014
0,-0.0078,1.014
0,-0.0156,0.9828
0,-0.0078,1.0686
0,-0.0156,1.014
0,-0.0156,0.9906
0.0156,-0.0078,1.0062
0,-0.0156,1.0296
0,-0.0078,1.0296
0.0156,-0.0156,0.858
0,0.0078,1.0062
0,-0.0156,0.9984
0.0078,-0.0156,1.0296
0,-0.0078,0.9048
0,0.0156,0.9672
0,-0.0156,0.9594
0.0234,-0.0156,0.9594
0,-0.0156,1.0374
0,0,0.9828
0,-0.0156,1.0374
0,-0.0156,1.014
0,0,0.9906
0,-0.0078,0.9984
0,0.0078,1.014
0,-0.0156,1.0296
0,-0.0078,0.9906
0,-0.0078,1.0296
0,-0.0156,0.9438
0,0,1.0062
0,-0.0078,1.0296
0,0.0078,0.9984
0,0,1.131
0,-0.0156,0.9828
0,-0.0156,1.0296
0,-0.0156,1.0764
0,-0.0078,1.014
0,-0.0078,1.0062
0,-0.0078,1.0062
0,-0.0156,1.0062
0,-0.0156,1.014
-0.0234,-0.0156,1.0218
0,-0.0156,1.014
0,0.0078,0.9906
0,0.0156,1.0062
0,-0.0078,0.9984
0,-0.0078,1.014
0,0,1.0452
0,0,1.0062
0,0.0312,1.0296
0,-0.0078,1.0296
0,-0.0078,1.014
0.0078,-0.0078,1.014
0,-0.0546,1.0062
0.0234,0.0312,1.0374
0,-0.0156,1.0764
0,-0.0156,1.0062
0,-0.0156,0.8424
0,0,0.9906
0,-0.0156,1.014
0.0156,-0.0078,1.014
0,-0.0156,0.9984
0,0.0078,1.014
0.0078,-0.0156,1.014
0,0.0156,1.0296
0,-0.0078,0.9906
0,0.078,1.0296
0,0,1.0296
0,0,1.0218
0,-0.0156,1.053
0,0,1.014
0,0.0468,1.014
0,-0.0156,0.9984
0,-0.0156,1.0218
0.0078,-0.0156,0.9984
0,-0.0078,1.0296
0.0234,0,0.9906
0,-0.0078,1.0296
0.0078,-0.0156,1.1388
0,0.0078,0.9984
0,0.0078,0.9906
0,-0.0156,1.014
0,-0.0078,1.014
0,-0.0078,1.0062
0,-0.0156,1.0374
0,-0.0078,0.9984
0,0,1.014
0.0078,-0.0156,1.0296
0,-0.0156,1.014
0,-0.0156,0.9984
-0.0156,-0.0078,0.9906
0,-0.0156,1.0218
0,0.0078,1.0062
0,-0.0078,1.014
0.0078,-0.0078,1.0296
0,-0.0078,0.9984
0,0,0.9906
0,-0.0156,0.9906
0,-0.0078,0.9984
0,0.0078,1.0374
0,0.0078,1.014
0,-0.0078,0.9906
0,0.0078,1.014
0,0,1.0062
0,-0.0078,1.0062
0,-0.0078,1.0062
0,0.0078,1.0062
0,0.0156,1.014
0.0078,-0.0078,1.0218
0,-0.0078,0.9984
0,-0.0156,1.0062
0,0,1.0218
0,0,0.9204
0.0078,-0.0156,1.0296
0,0,0.9906
0,0,1.0374
0,-0.0156,1.0062
0,0,1.1154
0,0,1.0062
0,0,1.0296
0,-0.0078,1.0296
0,-0.0078,0.9828
0,-0.0156,0.9828
0,-0.0078,0.9984
0,-0.0078,1.0062
0,0.0156,0.9984
0.0234,-0.0156,1.0062
0,-0.0078,1.014
0,0,1.0062
0,0,1.014
-0.0156,-0.0156,1.0374
0,-0.0156,1.0062
0.0156,-0.0156,1.0218
0,0,1.0296
0,-0.0156,1.0062
0,-0.0156,1.0296
0,-0.0156,1.0452
-0.0156,-0.0156,1.0218
0,0,1.0218
0,-0.0078,1.014
0,-0.0078,0.9828
-0.0312,0.0078,0.9984
0,0,1.0218
0,0,1.0218
0,0.0078,0.9282
0,0,1.014
0,0.0078,0.9984
0,-0.0078,0.9828
0,0,1.0062
0,0.0078,1.014
0,-0.0156,1.014
0.0078,-0.0156,1.0218
0,0.0078,1.0764
0.0156,-0.0156,1.0296
0,0,1.0218
0,0,0.9984
0,-0.0156,0.9906
0,-0.0156,0.9984
0,-0.0156,1.0062
0,-0.0156,1.0218
0,-0.0078,1.0296
0,-0.0156,0.9984
0,-0.0156,1.0218
0.0078,0,1.014
0.0078,-0.0156,0.9906
0,-0.0078,1.0218
0,0.0078,1.0218
0,-0.0156,0.9906
0,0,1.0296
0.0078,-0.0156,1.0296
0,-0.0078,1.014
0,0,0.9984
0,0,1.0374
0,-0.0156,1.0296
0,-0.0156,1.014
0.0078,-0.0156,0.9906
0,-0.0156,0.9048
0,-0.0156,1.014
0,0,0.9984
0,-0.0078,1.014
0,0,1.0062
0,-0.0156,0.9282
0,-0.0156,1.0218
-0.0234,0.0078,0.9984
0.0078,0,1.014
-0.0156,0,0.975
0,0.0078,0.9672
0,-0.0156,1.014
0,0.0156,1.014
0,-0.0078,1.0062
0,-0.0156,0.9828
0,0,1.0218
0,-0.0156,1.0062
0,-0.0156,1.0296
0,-0.0156,1.0296
0.0078,-0.0078,1.0296
0,0,1.0218
0,-0.0156,1.0296
0,-0.0156,1.0062
-0.0234,0,1.0218
0,-0.0156,1.0374
0,0,1.014
0.0156,-0.0156,1.014
0,0.0078,0.9672
0,0.0078,1.0296
0,-0.0078,0.9984
0,0,0.9984
0,-0.0078,0.9984
0,0,1.014
0,-0.0156,0.9828
0.0078,-0.0156,1.0218
0,0.0078,1.0062
0,0,1.0296
0,-0.0156,0.9984
0,-0.0078,1.0218
0,0,0.9984
0,0.039,1.1388
0,0.0078,0.9906
0,0.0078,0.9906
0,-0.0156,0.9906
0,0.0156,0.9984
0,-0.0156,0.9906
0,-0.0078,1.0062
0,-0.0078,1.014
0,0,0.9906
0.0078,-0.0156,0.8424
0.0078,-0.0078,1.014
0.0078,-0.0078,1.0296
0,0,1.014
0.0078,-0.0156,1.014
0,0.0078,0.9906
0,-0.0156,1.0296
0,-0.0078,0.9828
-0.0156,-0.0156,0.9906
0,-0.0156,1.0296
0.0078,-0.0156,1.0296
0.0078,-0.0156,1.0296
-0.0234,0,1.0374
0,-0.0156,1.0062
0,-0.0156,0.9438
0,-0.0156,1.0218
0.0078,-0.0078,1.014
0.0078,-0.0156,0.9828
0,-0.0078,1.0062
0,0,1.014
0,-0.0078,0.9984
0.0078,-0.0156,0.9906
0.0156,-0.0156,0.975
0,-0.0156,1.0296
0,0,1.0062
0.0078,-0.0156,0.9906
0,-0.0078,0.9984
0.0156,-0.0156,1.014
0,-0.0156,1.0764
0,0,0.9984
0,0,0.9906
0,0,1.0296
0,-0.0156,1.014
0,-0.0156,0.9984
0,-0.0078,1.014
0,-0.0156,1.053
0,0.0078,1.0062
0,0.0078,1.014
0,0.0078,0.975
0.0156,-0.0078,1.0062
0,-0.0156,1.0218
0,-0.0156,1.0062
0,-0.0156,1.0218
0,0,1.0218
0,-0.0156,1.014
0,-0.0156,1.0062
0,0,0.9594
0,-0.0156,1.0218
0,-0.0078,1.0062
0,0,1.0062
0,-0.0078,1.0062
0,-0.0078,1.014
0,0.039,0.9828
0,0,1.0296
0,0.0078,1.0218
0,-0.0078,1.0374
0,-0.0078,1.014
0,0.0078,1.014
0.0078,0,1.014
0,-0.0156,1.014
0.0156,0.0156,1.053
0,-0.0156,1.014
0,-0.0078,1.014
0,0,0.9984
0,-0.0156,1.0062
0,-0.0156,1.0296
0,0,1.0842
0,-0.0156,1.0296
0,-0.0156,0.9984
0,-0.0078,1.0062
0.0078,-0.0078,0.9984
0,-0.0078,1.0062
0,-0.0156,1.014
0,-0.0156,1.0218
0,0.0234,1.0062
0,0.0078,1.0374
-0.0156,0,1.014
0,-0.0078,1.0062
0,-0.0078,1.014
-0.0234,0,1.014
0,-0.0078,1.0452
0,-0.0078,1.0062
0,0,1.014
0,-0.0156,0.9984
0.0078,-0.0156,1.014
0,-0.0078,0.9984
0,-0.0156,0.9984
0,-0.0156,1.014
0,0.0546,1.0374
0,0,0.9984
0,-0.0156,1.053
0,-0.0078,1.0218
0,0.0078,0.9984
0,-0.0078,1.0296
0,0.0078,0.9984
0.0234,0,1.0296
0,-0.0078,1.0452
-0.0156,0.0078,1.0218
0,-0.0156,1.014
0.0078,0.0078,1.0218
0,0,1.014
0.0156,-0.0156,1.0062
-0.0156,-0.0078,1.1466
0,-0.0078,1.0062
0.0234,-0.0156,1.0296
0,-0.0156,0.9672
0.0078,0.0078,1.014
0,0,1.0218
0,-0.0156,0.9828
0,0,1.014
0,-0.0156,0.9984
0,-0.0156,0.9984
0,-0.0156,0.9906
-0.0156,-0.0156,0.9594
0,-0.0156,0.9906
0.0078,0,1.0062
0.0078,-0.0156,0.8892
0,0,1.0218
0.0156,-0.0156,0.9906
0,-0.0078,1.014
0,0,0.9984
0.0078,0,1.0296
0,-0.0078,1.0686
0.0078,0,0.9828
0,0.0078,1.014
0,0,1.0218
0,0,0.9906
0.0078,0,1.1622
0,0,1.014
0,0.0156,0.9906
0,-0.0156,1.0296
0,-0.0078,0.9984
0,0,0.9984
0.0078,-0.0078,1.0062
0,-0.0078,0.9828
0.0156,-0.0156,0.9984
0,-0.0156,0.975
0,-0.0156,1.0218
0,-0.0156,1.014
0,-0.0156,0.9984
-0.0234,0,1.0062
0,0.0156,1.0452
-0.0156,-0.0156,0.9594
0,-0.0078,1.0062
0,-0.0156,1.014
0,0.0078,1.0296
0,-0.0156,0.975
0,-0.0156,1.0452
0,0.0078,1.0296
0,-0.0156,1.014
0,0.0078,1.0296
0.0078,-0.0078,1.0608
0,-0.0156,0.9906
0,0,1.0296
0,0,1.0374
0,-0.0156,0.9984
0,-0.0078,1.014
0,-0.0156,1.0296
0,-0.0078,0.9906
0,-0.0078,0.9516
0,0,1.0062
0,0,1.0062
0,-0.0078,1.1466
0,0.0078,0.9984
-0.0234,0,1.0218
0,0.0078,1.0374
0,0.0078,1.0218
0,0,0.9906
0.0078,-0.0156,1.014
0.0078,0.0078,1.014
0,-0.0078,0.9984
0,0,0.9906
0,-0.0078,1.1778
0.0078,-0.0078,0.975
0,0,0.975
0.0078,0.0078,1.0296
0,0,1.0296
0,-0.0156,0.9672
0,-0.0156,1.0218
0,-0.0156,1.0296
0,-0.0078,0.9828
0,-0.0156,1.0374
-0.0156,0.0078,1.0296
0,-0.0156,1.0296
0,-0.0156,0.975
-0.0234,0,1.014
0,-0.0078,1.0218
0,-0.0156,0.975
0,-0.0078,0.9984
0,0.0078,1.0062
0.0078,-0.0156,1.0062
0.0078,-0.0156,1.0374
0,-0.0078,1.014
0,-0.0156,0.8736
0.0078,0,0.9984
0,-0.0078,1.014
0,0,1.014
0,-0.0156,1.0218
-0.0156,-0.0156,1.014
0,0,1.1388
-0.0156,-0.0156,0.9984
0,-0.0078,0.9984
0,-0.0156,1.1778
0,-0.0078,1.0062
0,-0.0156,0.9906
0,-0.0078,1.014
0,-0.0078,1.0296
0,-0.0078,0.9984
0,-0.0156,1.014
0,-0.0156,0.9906
0,-0.0156,1.0062
0,-0.0156,0.9984
0,0.0546,1.0062
0,0,1.014
0,-0.0156,1.0296
0,-0.0156,0.9906
0,0.0312,1.0296
0,0,1.014
0.0156,-0.0156,0.9906
0,0,1.0062
0,-0.0156,1.1466
0,-0.0078,1.0218
0,0,0.9906
0,-0.0078,1.0218
0,-0.0078,0.9828
-0.0234,0,1.0296
0,-0.0156,1.092
0,0.0156,1.0062
0,-0.0156,1.014
-0.0156,-0.0156,1.0608
0,-0.0156,0.9906
0,-0.0156,1.0218
0,-0.0156,1.0218
0,0,1.0062
0,0,0.9906
0,-0.0156,1.0062
0,-0.0156,1.014
0,-0.0156,1.0062
0,-0.0156,1.0374
0,-0.0156,1.0374
0,-0.0156,1.014
0,0,0.9906
0,-0.0156,1.014
0.0078,-0.0078,1.0296
0,0,1.0296
0,-0.0078,0.9828
0,-0.0078,1.1388
0,-0.0156,1.053
0,0.0078,1.014
0,-0.0078,1.0062
-0.0156,0.0078,1.0608
0,-0.0156,1.0296
0.0078,-0.0078,1.0218
0,0,1.0296
0,-0.0078,1.0218
0.0156,-0.0156,1.0218
0,-0.0156,0.9984
0,-0.0078,1.0296
0,-0.0156,0.9984
0,0,1.0218
0,0.0078,1.0374
0,-0.0156,0.9828
0,-0.0078,0.9984
0,-0.0156,1.0218
0,-0.0156,1.0218
0,-0.0156,1.0374
0,-0.039,0.8892
0,-0.0156,0.9906
0,0.0078,1.0296
-0.0156,0.0078,1.1154
0,0,1.0296
0,-0.0156,0.9906
0,-0.0078,0.9984
0,-0.0156,0.9984
0,0,1.014
-0.0312,-0.0078,0.9048
0,-0.0078,1.0062
0,-0.0156,1.053
0.0078,-0.0156,1.0374
0,0,1.0218
0,-0.0156,0.9984
0.0078,-0.0078,1.0218
0,0.0078,1.0218
0,-0.0156,0.9984
0,-0.0312,0.9984
0,-0.0078,1.053
0,-0.0078,0.9984
-0.0156,0,1.014
0.0078,-0.0156,0.9906
0,-0.0156,1.0062
0,-0.0156,1.131
0.0234,-0.0078,1.0218
0.0156,-0.0156,1.014
0,-0.0156,1.053
0,-0.0156,1.053
0,-0.0078,1.0374
0,0.0078,0.9906
0,-0.0156,1.0062
0,0,1.0296
0,0.0078,1.0062
0,0,1.0062
0,-0.0078,0.9984
0,-0.0078,1.0218
0,-0.0078,1.014
0,-0.0078,0.9906
0,0,1.014
0,-0.0156,0.9984
0,0,0.9984
0.0078,-0.0156,0.9984
0,-0.0156,1.014
0,-0.0156,0.9906
0.0078,-0.0156,1.0062
0,-0.0156,0.975
0.0234,-0.0078,1.014
0.0078,-0.0156,0.9984
0,0,1.014
0,-0.0156,1.0374
0,-0.0156,0.9984
0,-0.0156,1.0296
0,-0.0156,0.9906
0,-0.0156,1.0218
0,0,1.014
-0.0156,-0.0078,1.0296
0,0.0078,0.9906
0,-0.0078,1.014
0,-0.0156,1.0296
0.0078,-0.0078,0.9984
0,-0.0156,0.9906
0,-0.0156,1.0062
0.0078,0,1.0062
0,-0.0156,1.0062
0.0156,-0.0078,0.9828
0,0,1.0296
