x_g,y_g,z_g
0,0.468,1.053
0,0.4992,1.0452
0,0.4836,1.053
0,0.4914,1.053
0,0.468,1.0452
0,0.4914,1.0296
0,0.4992,1.053
0,0.468,1.053
0.0078,0.4524,1.0452
0,0.4758,1.0296
0,0.4836,1.092
0,0.468,1.0452
0,0.468,1.0374
0.0156,0.468,1.0374
0,0.4836,1.0452
0,0.4602,1.0218
0,0.468,1.0296
0,0.4836,1.0218
0,0.4758,1.0374
0,0.4758,1.0296
0,0.4758,1.0374
0,0.468,1.0842
0,0.4758,1.0296
0,0.4758,1.0218
0.0234,0.468,1.0374
0.0078,0.4992,1.0374
0,0.4602,1.014
0,0.4758,1.053
0,0.4836,1.0842
0,0.4602,0.9906
0.0078,0.4758,1.0374
0,0.4758,1.0374
0,0.4758,1.014
0,0.4836,1.0374
0.0078,0.4914,1.0296
0,0.4836,1.0374
0,0.4524,1.053
-0.0312,0.4836,1.0608
0,0.5148,1.0218
0,0.4836,1.0452
0,0.468,1.0608
-0.0156,0.4758,1.0218
0,0.4758,1.053
0,0.4602,1.0062
0,0.4836,1.0374
0,0.468,1.1154
0,0.4758,1.0686
0,0.4758,1.0764
-0.0156,0.4758,1.0608
0,0.4602,1.0608
0,0.468,1.0062
0.0078,0.4758,1.0296
0.0156,0.468,0.9984
0,0.4836,1.0296
0,0.4992,1.0374
0,0.4602,1.0452
0.0078,0.4836,1.1388
0,0.4836,1.0218
0,0.4836,1.0452
0,0.468,1.053
0,0.4914,1.0608
